frame,x,y,dist_to_cage,vx_px_s,vy_px_s,speed_px_s
0,443,291,173.5655495770978,0.0,0.0,0.0
1,443,291,173.5655495770978,0.0,0.0,0.0
2,443,291,173.5655495770978,0.0,0.0,0.0
3,443,291,173.5655495770978,0.0,0.0,0.0
4,443,292,172.90459797240788,0.0,59.9469602001728,59.9469602001728
5,444,292,172.15400082484288,59.9469602001728,0.0,59.9469602001728
6,444,292,172.15400082484288,0.0,0.0,0.0
7,444,292,172.15400082484288,0.0,0.0,0.0
8,444,293,171.49344010777787,0.0,59.9469602001728,59.9469602001728
9,445,293,170.74249617479535,59.9469602001728,0.0,59.9469602001728
10,445,294,170.0823330037544,0.0,59.9469602001728,59.9469602001728
11,446,294,169.33103672983285,59.9469602001728,0.0,59.9469602001728
12,446,295,168.67127793433,0.0,59.9469602001728,59.9469602001728
13,447,295,167.91962362987834,59.9469602001728,0.0,59.9469602001728
14,448,296,166.50825805346713,59.9469602001728,59.9469602001728,84.77780413812452
15,448,297,165.8493292117879,0.0,59.9469602001728,59.9469602001728
16,449,297,165.0969412193939,59.9469602001728,0.0,59.9469602001728
17,450,298,163.68567438844488,59.9469602001728,59.9469602001728,84.77780413812452
18,451,299,162.27445886522005,59.9469602001728,59.9469602001728,84.77780413812452
19,451,300,161.6168308066954,0.0,59.9469602001728,59.9469602001728
20,452,301,160.20611723651504,59.9469602001728,59.9469602001728,84.77780413812452
21,453,301,159.45218719101973,59.9469602001728,0.0,59.9469602001728
22,454,302,158.04113388608675,59.9469602001728,59.9469602001728,84.77780413812452
23,455,303,156.6301375853319,59.9469602001728,59.9469602001728,84.77780413812452
24,456,304,155.21919984331836,59.9469602001728,59.9469602001728,84.77780413812452
25,457,305,153.8083222715858,59.9469602001728,59.9469602001728,84.77780413812452
26,457,306,153.15351775261317,0.0,59.9469602001728,59.9469602001728
27,458,307,151.74320413119,59.9469602001728,59.9469602001728,84.77780413812452
28,459,308,150.33296378372907,59.9469602001728,59.9469602001728,84.77780413812452
29,460,309,148.92279879185725,59.9469602001728,59.9469602001728,84.77780413812452
30,461,310,147.5127113166862,59.9469602001728,59.9469602001728,84.77780413812452
31,462,311,146.102703602637,59.9469602001728,59.9469602001728,84.77780413812452
32,463,312,144.69277798148738,59.9469602001728,59.9469602001728,84.77780413812452
33,464,313,143.28293687665675,59.9469602001728,59.9469602001728,84.77780413812452
34,465,314,141.8731828077456,59.9469602001728,59.9469602001728,84.77780413812452
35,466,315,140.46351839534705,59.9469602001728,59.9469602001728,84.77780413812452
36,467,316,139.05394636614957,59.9469602001728,59.9469602001728,84.77780413812452
37,468,317,137.64446955835166,59.9469602001728,59.9469602001728,84.77780413812452
38,469,318,136.23509092741122,59.9469602001728,59.9469602001728,84.77780413812452
39,469,319,135.5912976558599,0.0,59.9469602001728,59.9469602001728
40,470,320,134.18271125595876,59.9469602001728,59.9469602001728,84.77780413812452
41,471,321,132.7742444904131,59.9469602001728,59.9469602001728,84.77780413812452
42,472,322,131.36590120727678,59.9469602001728,59.9469602001728,84.77780413812452
43,473,324,129.3213052826177,59.9469602001728,119.8939204003456,134.0454780520608
44,474,324,128.5496013218244,59.9469602001728,0.0,59.9469602001728
45,474,325,127.91403363196706,0.0,59.9469602001728,59.9469602001728
46,475,326,126.50691680694776,59.9469602001728,59.9469602001728,84.77780413812452
47,476,327,125.09996003196804,59.9469602001728,59.9469602001728,84.77780413812452
48,477,328,123.69316876852982,59.9469602001728,59.9469602001728,84.77780413812452
49,477,329,123.06502346320826,0.0,59.9469602001728,59.9469602001728
50,478,330,121.65936051122412,59.9469602001728,59.9469602001728,84.77780413812452
51,479,331,120.2538980657176,59.9469602001728,59.9469602001728,84.77780413812452
52,479,332,119.63277142990545,0.0,59.9469602001728,59.9469602001728
53,480,333,118.2285921425101,59.9469602001728,59.9469602001728,84.77780413812452
54,480,334,117.61377470347595,0.0,59.9469602001728,59.9469602001728
55,481,334,116.82465493208187,59.9469602001728,0.0,59.9469602001728
56,481,335,116.21101496846157,0.0,59.9469602001728,59.9469602001728
57,482,336,114.80853626799707,59.9469602001728,59.9469602001728,84.77780413812452
58,482,337,114.20157617125956,0.0,59.9469602001728,59.9469602001728
59,483,338,112.8007092176286,59.9469602001728,59.9469602001728,84.77780413812452
60,483,338,112.8007092176286,0.0,0.0,0.0
61,484,339,111.40017953306898,59.9469602001728,59.9469602001728,84.77780413812452
62,484,340,110.80162453682708,0.0,59.9469602001728,59.9469602001728
63,485,340,110.0,59.9469602001728,0.0,59.9469602001728
64,485,341,109.40292500660117,0.0,59.9469602001728,59.9469602001728
65,485,342,108.81176406988355,0.0,59.9469602001728,59.9469602001728
66,486,342,108.00462953040486,59.9469602001728,0.0,59.9469602001728
67,486,343,107.41508273980894,0.0,59.9469602001728,59.9469602001728
68,486,343,107.41508273980894,0.0,0.0,0.0
69,487,344,106.01886624558857,59.9469602001728,59.9469602001728,84.77780413812452
70,487,344,106.01886624558857,0.0,0.0,0.0
71,487,345,105.43718509140881,0.0,59.9469602001728,59.9469602001728
72,487,345,105.43718509140881,0.0,0.0,0.0
73,487,346,104.86181383134664,0.0,59.9469602001728,59.9469602001728
74,488,346,104.04326023342406,59.9469602001728,0.0,59.9469602001728
75,488,347,103.46980235798269,0.0,59.9469602001728,59.9469602001728
76,488,347,103.46980235798269,0.0,0.0,0.0
77,488,348,102.90286682109493,0.0,59.9469602001728,59.9469602001728
78,488,348,102.90286682109493,0.0,0.0,0.0
79,489,348,102.07840124139877,59.9469602001728,0.0,59.9469602001728
80,489,349,101.51354589413178,0.0,59.9469602001728,59.9469602001728
81,489,349,101.51354589413178,0.0,0.0,0.0
82,489,349,101.51354589413178,0.0,0.0,0.0
83,489,350,100.9554357129917,0.0,59.9469602001728,59.9469602001728
84,489,350,100.9554357129917,0.0,0.0,0.0
85,489,350,100.9554357129917,0.0,0.0,0.0
86,489,351,100.40418317978589,0.0,59.9469602001728,59.9469602001728
87,489,351,100.40418317978589,0.0,0.0,0.0
88,489,351,100.40418317978589,0.0,0.0,0.0
89,490,352,99.02019995940222,59.9469602001728,59.9469602001728,84.77780413812452
90,490,352,99.02019995940222,0.0,0.0,0.0
91,490,352,99.02019995940222,0.0,0.0,0.0
92,490,352,99.02019995940222,0.0,0.0,0.0
93,490,353,98.47842403288143,0.0,59.9469602001728,59.9469602001728
94,490,353,98.47842403288143,0.0,0.0,0.0
95,490,353,98.47842403288143,0.0,0.0,0.0
96,490,353,98.47842403288143,0.0,0.0,0.0
97,490,354,97.94386147176351,0.0,59.9469602001728,59.9469602001728
98,490,354,97.94386147176351,0.0,0.0,0.0
99,490,354,97.94386147176351,0.0,0.0,0.0
100,490,354,97.94386147176351,0.0,0.0,0.0
101,490,355,97.41663102366043,0.0,59.9469602001728,59.9469602001728
102,490,355,97.41663102366043,0.0,0.0,0.0
103,490,355,97.41663102366043,0.0,0.0,0.0
104,490,355,97.41663102366043,0.0,0.0,0.0
105,490,355,97.41663102366043,0.0,0.0,0.0
106,490,356,96.89685237405806,0.0,59.9469602001728,59.9469602001728
107,490,356,96.89685237405806,0.0,0.0,0.0
108,490,356,96.89685237405806,0.0,0.0,0.0
109,490,356,96.89685237405806,0.0,0.0,0.0
